Merk	Soort	Percentage_Alcohol	Brouwerij	Periode
Queue de Charrue Ambrée	amber	5,6%	Brouwerij Verhaeghe Vichte in opdracht van Brouwerij Vanuxeem	1998-heden
Queue de Charrue Blonde	blond, hoge gisting	6,6%	Brouwerij Verhaeghe Vichte in opdracht van Brouwerij Vanuxeem	2009-heden
Queue de Charrue Brune	oud bruin	5,4%	Brouwerij Verhaeghe Vichte in opdracht van Brouwerij Vanuxeem	1986-heden
Queue de Charrue Triple	tripel	9%	Brouwerij Van Steenberge in opdracht van Brouwerij Vanuxeem	1992-heden
Quackelbeens Donker	hoge gisting, chocoladebier	7,1%	Brouwerij Gulden Spoor voor Alain Quackelbeen	NaN
Quintine Ambrée	hoge gisting	8,5%	Brasserie Ellezelloise	?-heden
Quintine Bio Organic	hoge gisting, biologisch	5,9%	Brasserie Ellezelloise	?-heden
Quintine Blonde	hoge gisting	8%	Brasserie Ellezelloise	?-heden
Rader Ambrée	amber	10,5%	Brasserie de l'Abbaye du Val-Dieu voor Stokerij Radermacher	NaN
Rader Blonde	blond	6,5%	Brasserie de l'Abbaye du Val-Dieu voor Stokerij Radermacher	NaN
Ramée Blond	blond, tripel, abdijbier	6,8%	Brasserie du Bocq, in opdracht (vroeger Brasserie de Brunehaut)	2001-heden
Ramée Triple Amber	amber, tripel, abdijbier	7,5% (6,8% on keg)	Brasserie du Bocq, in opdracht (vroeger Brasserie de Brunehaut)	2001-heden
Ramée Triple Blond	blond, tripel, abdijbier	7,5% (6,8% on keg)	Brasserie du Bocq, in opdracht (vroeger Brasserie de Brunehaut)	2001-heden
Ramée Wit	Wit Abdijbier	5% (on keg)	Brasserie du Bocq, in opdracht (vroeger Brasserie de Brunehaut)	2001-heden
Ravensteenbier	NaN	?%	Brouwerij Bios	?-?
Rasta Trolls	hoge gisting, blond	7%	Brouwerij Dubuisson	2018-heden
Rebel Local	IPA	8,5%	Brouwersverzet bij Brouwerij Gulden Spoor	NaN
Redbach	fruitbier (kriekensap)	3,5%	Brouwerij Rodenbach	2004-2007
Redbocq	fruitbier	3,1%	Brasserie Du Bocq	?-heden
Redor	pils	5%	Brasserie Dupont	NaN
Regal Christmas	bruin	8,1%	Brasserie Du Bocq	NaN
Reinaert Blond	amber	7%	De Proefbrouwerij	?-heden
Reinaert Grand Cru	amber	9,5%	De Proefbrouwerij	?-heden
Reinaert Tripel	blond	9%	De Proefbrouwerij	?-heden
Reinhardstein	blond	?%	Brouwerij Val-Dieu	?-heden
René	blond	7%	Brouwerij De Graal	2016-heden
Reninge Bitter Blond	blond	7%	Seizoensbrouwerij Vandewalle	?-?
Reninge Oud Bruin	bruin	6%	Seizoensbrouwerij Vandewalle	?-?
Revolucion Mexicana'10	lage gisting	5%	Group John Martin	?-?
Rex Artus	hoge gisting	8,5%	Brouwerij Bier & Karakter bij Brouwerij Anders!	2014-heden
Rex Artus Grand Prestige	hoge gisting	8.5%	Brouwerij Bier & Karakter bij Brouwerij Anders!	2015-heden
Ribaldus blond	blond	7,5%	Brouwerij De Graal voor bierfirma Ribaldus	?-?
Rick's bier	blond	6%	De Proefbrouwerij	?-heden
Rick's Abbesse	amber	6%	De Proefbrouwerij	?-heden
Rick's bier bruin	bruin	10%	De Proefbrouwerij	?-heden
Ridder	alcoholarm	2,25%	Brouwerij Het Sas	1988-heden
Riebedebie	tripel	9%	Brouwerij De Bie	?-heden
Rigas	NaN	?%	Brouwerij Villers	?-?
Riva Blanche	witbier	5%	Brouwerij Riva	1985-2007
Riva Pils	pils	5%	Brouwerij Riva	?-?
Robustus	quadrupel	10%	Brouwerij Het Gulden Spoor	?-?
Rochefort 6	trappist	7,5%	Abdij Notre-Dame de Saint-Rémy	?-heden
Rochefort Tripel Extra	trappist	8,1%	Abdij Notre-Dame de Saint-Rémy	?-heden
Rochefort 8	trappist	9,2%	Abdij Notre-Dame de Saint-Rémy	?-heden
Rochefort 10	trappist	11,3%	Abdij Notre-Dame de Saint-Rémy	?-heden
Rochefortoise ambrée	amber	8%	Brasserie La Rochefortoise	?-?
Rochefortoise blonde	blond	6.2%	Brasserie La Rochefortoise	?-?
Rochefortoise brune	bruin	10%	Brasserie La Rochefortoise	?-?
Rochus De Ryck	NaN	?%	brouwerij De Ryck	?-?
Rodenbach	oud bruin	5,2%	Brouwerij Rodenbach	?-heden
Rodenbach Alexander	oud bruin	6%	Brouwerij Rodenbach	?-heden
Rodenbach Caractère Rouge	oud bruin	7%	Brouwerij Rodenbach	2011-heden
Rodenbach Grand Cru	oud bruin	6%	Brouwerij Rodenbach	?-heden
Rodenbach Rosso	oud bruin	4%	Brouwerij Rodenbach	2014-heden
Rodenbach Vintage	oud bruin	7%	Brouwerij Rodenbach	2010-heden
Roeselaarse tripel	tripel	8,5%	Bram's Brewery	2017-heden
Rogier (bier)	speciale belge	6,5%	Brouwerij De Graal voor Traagwater	?-?
Roman special	NaN	5,5%	Brouwerij Roman	?-2013
Romy Pils	pils	5,1%	Brouwerij Roman	1945-heden
Romy Luxe	pils	5,6%	Brouwerij Roman	?-?
Rond 'O blond	blond	%	Microbrouwerij Den Triest	?-?
Rond'O bruin	bruin	%	Microbrouwerij Den Triest	?-?
Ronsischen Dubbel	winterbier	7,4%	De Proefbrouwerij voor bierfirma Slaapmutske	?-heden
Ronsischen Tripel	tripel	8%	De Proefbrouwerij voor bierfirma Slaapmutske	?-heden
Roodebol	fruitbier	6,6%	Brouwerij Loterbol	?-?
Roosendael blond	blond	?%	Brouwerij Villers	?-?
Roosendael bruin	bruin	?%	Brouwerij Villers	?-?
Rosdel	amber	5,8%	Brouwerij Nieuwhuys	2008-heden
Rosé de Gambrinus	fruitbier, lambiek	5,5%	Brasserie Cantillon	1986-heden
Rose des Remparts	fruitbier	4,5%	Brasserie La Binchoise	1992-heden
Rosé Max	fruitbier	4,5%	Brouwerij Bockor	2009-heden
Roste Jeanne	Belgian ale	7%	De Struise Brouwers bij Brouwerij Deca	?-heden
Rousse de Brabant	koper-amber	5,2%	Groep John Martin	?-heden
RSRV	biologisch, roodbruin	10%	Brouwerij Jessenhofke bij De Proefbrouwerij	2010-heden
Rubbel	NaN	?%	Brouwerij Villers	?-?
Rubbens (bier)	NaN	NaN	Brouwerij van Zonnegem	NaN
Runxter	tripel	7,5%	Brouwerij Donbosvalk	2019-heden
's Lands Souvenirs Du Terroir	bruin	11%	Brouwerij De Landtsheer	?-?
Safir	pils	5%	InBev	1939-2014 en 2018-heden
Saint-Benoît Blonde	blond, hoge gisting	6,3%	Brasserie du Bocq	1988-heden
Saint-Benoît Brune	donker, hoge gisting	6,5%	Brasserie du Bocq	1988-heden
Saint-Benoît Tripel	tripel, hoge gisting	?%	Brasserie du Bocq	1988-?
Saint Honoré	?	?%	Brouwerij Old Bailey	?-?
Saint-Lamvinus	fruitbier, lambiek	6%	Brouwerij Cantillon	1993-heden
Saint-Monon Ambrée	amber	6,5%	Brasserie Saint-Monon	1996-heden
Saint-Monon au Miel	tripel, honingbier	8%	Brasserie Saint-Monon	1996-heden
Saint-Monon Brune	dubbel	7,5%	Brasserie Saint-Monon	1996-heden
Saison 1858	saison	6,4%	Brasserie du Bocq	?-?
Saison 1900	amber, saison	5,2%	Brouwerij Lefebvre	1982-heden
Saison 2000	saison	6,5%	Brasserie des Légendes	?-?
Saison Cazeau	saison	5%	Brasserie de Cazeau	?-?
Saison de Dottignies	saison	5,5%	Brouwerij De Ranke	2010-heden
Saison de la Senne	saison	4,3%	Brouwerij De Ranke voor Brasserie de la Senne	?-?
Saison de Mai	saison	8,3%	Brasserie Saint-Monon	?-?
Saison de Pipaix	saison	6%	Brasserie à Vapeur	1785-heden
Saison d'Epeautre	blond, spelt	6%	Brasserie de Blaugies	1994-heden
Saison d'Erezée	saison	6,2%	Brouwerij Fantôme	?-?
Saison d'Erpe-Mere	saison	6,9%	Brouwerij De Glazen Toren	2004-heden
Saison de Silly	saison, amber	5%	Brasserie de Silly	?-?
Saison Dupont	saison	6,5%	Brouwerij Dupont	1884-heden
Saison Dupont Bio	saison, biologisch	5,5%	Brouwerij Dupont	1990-heden
Saison Dupont Cuvée Dry Hopping	saison	6,5%	Brouwerij Dupont	?-?
Saison Regal	saison, amber	5,5%	Brasserie du Bocq (voorheen Brasserie Centrale)	1940-heden
Saison St-Feuillien	saison, amber	6,5%	Brasserie Saint-Feuillien	?-?
Saison Voisin	saison, amber	5%	Brasserie des Légendes	2001-heden
Sans Pardon	Imperial Stout, zwart	11%	Brouwerij De Dochter van de Korenaar	?-?
Santa Bee	bruin kerstbier	8,5%	Brouwerij Boelens	2006-heden
Sara Blond	blond, hoge gisting, boekweit	6%	Brasserie de Silenrieux	1991-heden
Sara Bruin	bruin, hoge gisting, boekweit	6%	Brasserie de Silenrieux	1991-heden
Sas Brune	hoge gisting	5,3%	Brouwerij Het Sas	?-?
Sas Export	export pils	5%	Brouwerij Het Sas	?-?
Sas Pils	pils	5%	Brouwerij Het Sas	?-?
Sasbräu	Dortmunder	6,3%	Brouwerij Het Sas	?-?
Scaldienne Satcheu	hoge gisting	6,5%	Brouwerij facon	?-?
Satan Black	donker, hoge gisting	8%	Brouwerij De Block	?-heden
Satan Gold	blond, hoge gisting	8%	Brouwerij De Block	1986-heden
Satan Red	Vlaams bruin	8%	Brouwerij De Block	1992-heden
Satan White	Witbier	5%	Brouwerij De Block	2016-heden
Saxo	hoge gisting	8%	Brasserie Caracole	1994-heden
Schaarbeekse Oude Kriek 3 Fonteinen	fruitbier, lambiek	5%	Geuzestekerij 3 Fonteinen	?-?
Schapenkop	tripel	8%	Brouwerij 't Paenhuys	?-?
Scheldepils	pils	5%	Brouwerij Huyghe voor de De Scheldebrouwerij	2002-heden
Schluck Specht Pils	NaN	?%	Brouwerij Villers	?-?
Schoenlappertje	zwarte-bessenbier	5%	De Scheldebrouwerij	1996-2011
Schultenbräu	pils	4,9%	Brouwerij Martens voor Aldi	?-heden
SchuppenAas	amber	6,5%	De Scheldebrouwerij voor Brouwerij Het Nest	2012-heden
SchuppenBoer	tripel	8,5%	De Scheldebrouwerij voor Brouwerij Het Nest	2007-heden
Scotch Crowned Trees Scotch	scotch	7,2%	Inbev (voorheen Brouwerij Wielemans	1926-heden
Scotch Crowned Trees Stout	stout	%	Brouwerij Wielemans	1921-jaren'60
Scotch Silly	hoge gisting, scotch	7,8%	Brasserie de Silly	?-?
Schwendi	cat S	6%	Brasserie Devaux	?-?
Seefbier	hoge gisting	%	meerder artisanale historische brouwerijen Antwerpse Brouw Compagnie	voor 1677-1914
Seefbier	hoge gisting	6,5%	Antwerpse Brouw Compagnie	2012-heden
Serafijn Blond	blond, hoge gisting	6,2%	De Proefbrouwerij voor Microbrouwerij Achilles	1999?-heden
Serafijn Donker	bruin, hoge gisting	8%	De Proefbrouwerij voor Microbrouwerij Achilles	1999?-heden
Serafijn Grand Cru	amber, hoge gisting	9%	De Proefbrouwerij voor Microbrouwerij Achilles	1999?-heden
Serafijn Tripel	tripel	8%	De Proefbrouwerij voor Microbrouwerij Achilles	1999?-heden
Serafijn Kerstlicht	amber, kerstbier	7%	De Proefbrouwerij voor Microbrouwerij Achilles	1999?-heden
Sernia Brune	scotch, etiketbier	7,2%	Inbev	1926-heden (e ?-heden)
Sezoens Aparta	hoge gisting, witbier	6%	Brouwerij Martens (Bocholt)	2020-heden
Sezoens Blond	hoge gisting, blond	6%	Brouwerij Martens (Bocholt)	1880-2019?
Sezoens Opus	hoge gisting, kriek	8%	Brouwerij Martens (Bocholt)	2021-heden
Sezoens Original	hoge gisting, blond	6%	Brouwerij Martens (Bocholt)	2020-heden
Sezoens Quattro	hoge gisting, amber	8%	Brouwerij Martens (Bocholt)	1989-heden
Shark Pants	Double IPA	9%	De Struise Brouwers bij Brouwerij Deca	?-?
Sherry poesy	geuze	6%	Brouwezrij Vandervelden	?-?
Sheriff	Amber	9%	Brouwerij Gemeldorp	2016-heden
Silly Pils	pils	5%	Brasserie de Silly	1956-heden
Silly Pils Bio	pils, biologisch	5%	Brasserie de Silly	?-heden
Sinpalsken Blond	hoge gisting	8,5%	Brouwerij De Cock bij Brouwerij Van Steenberge	1996-heden
Sinpalsken Donker	hoge gisting	8,5%	Brouwerij De Cock bij Brouwerij Van Steenberge	1996-heden
Sint-Adriaansbier Blond	abdijbier	6,5%	Brouwerij Van Steenberge	?-?
Sint-Adriaansbier Bruin	abdijbier	NaN	Brouwerij Van Steenberge	?-?
Sint-Amatus	quadrupel	10,5%	De Struise Brouwers bij Brouwerij Deca	?-?
Sint Canarus Tripel	tripel	7,5%	Huisbrouwerij Sint Canarus bij De Proefbrouwerij	2002-heden
Sint Canarus 10	tripel	8,73%	Huisbrouwerij Sint Canarus bij De Proefbrouwerij	2012-heden
Sinterklaas	Blond	8,5%	Brouwerij Boelens	?-?
Sint-Gummarus Dubbel	NaN	7%	Brouwerij Sint-Jozef	?-?
Sint-Gummarus Tripel	hoge gisting, tripel	8%	Brouwerij Sint-Jozef	?-?
Sint Hermes	abdijbier	?%	Brouwerij Clarysse (bierfirma)	?-?
Sint-Idesbald blond	hoge gisting	6,5%	Brouwerij Huyghe (voorheen brouwerij Damy)	?-heden
Sint-Idesbald dubbel	hoge gisting	8%	Brouwerij Huyghe (voorheen brouwerij Damy)	?-heden
Sint-Idesbald tripel	hoge gisting	9%	Brouwerij Huyghe (voorheen brouwerij Damy)	?-heden
Sint-Idesbald Rousse	hoge gisting	7%	Brouwerij Huyghe	2004-heden
Slaapmutske Blond	hoge gisting, blond	6,4%	De Proefbrouwerij voor Brouwerij Slaapmutske	2001-heden
Slaapmutske Bruin	hoge gisting, bruin	6%	De Proefbrouwerij voor Brouwerij Slaapmutske	2000-heden
Slaapmutske Bio Tripel	biologisch, tripel , goudblond	8%	De Proefbrouwerij voor Brouwerij Slaapmutske	2009-heden
Slaapmutske Hop Collection ft. Kent Goldings	hoge gisting, single hop	10%	De Proefbrouwerij voor Brouwerij Slaapmutske	2011-heden
Slaapmutske Witbier	witbier	4,4%	De Proefbrouwerij voor Brouwerij Slaapmutske	?-heden
Slaapmutske Tripel	biologisch, tripel , goudblond	8,1%	De Proefbrouwerij voor Brouwerij Slaapmutske	2002-heden
Slaapmutske Christmas	hoge gisting, kerstbier	7,4%	De Proefbrouwerij voor Brouwerij Slaapmutske	2008-heden
Slaapmutske Dry Hopped Lager	lage gisting, Dortmunder	5,3%	De Proefbrouwerij voor Brouwerij Slaapmutske	2007-heden
Slaapmutske Winterbier	hoge gisting, bruin	6%	De Proefbrouwerij voor Brouwerij Slaapmutske	2000-2001
Slaefke	tripel	7,5%	Huisbrouwerij Sint Canarus voor De Verhuisbrouwerij	2011-heden
Slag Lager	pils	5%	Brouwerij Slaghmuylder	1958-heden
Slaghmuylder's Kerstbier	lage gisting, blond	5,2%	Brouwerij Slaghmuylder	?-?
Slaghmuylder's Paasbier	lage gisting, blond	5,2%	Brouwerij Slaghmuylder	?-?
Slim³	bovengisting	8%	Brouwerij De Graal voor SLIM	?-?
Sloeber	hoge gisting	7,5%	Brouwerij Roman	1983-heden
Sloeber	hoge gisting	7,5%	Brouwerij Roman	1983-heden
Smisje Kerst	donker amber	11%	Brouwerij Smisje	?-?
Smiske	blond	7%	Brouwerij Smisje	2010-heden
Smiske Bruin	dubbel	7%	Brouwerij Smisje	2010-heden
Smiske Extra	tripel	7%	Brouwerij Smisje	2012-heden
Smiske Winter	donker amber	11%	Brouwerij Smisje	?-heden
Smokkelaar	NaN	?%	Brouwerij Villers	?-?
Snaaskerstbier	kerstbier	8%	Brouwerij Deca	?-? (e ?-?)
Snoek Blond	hoge gisting	7,5%	Brouwerij Bavik voor “Mout- en Brouwhuis De Snoek”	?-?
Slijtersbier	Blond	7%	brouwerij De Zwingel (Harelbeke)	?-?
Snowbuk	saison	6%	Brouwerij Gulden Spoor	?-?
Snuffelbeer	goud, hoge gisting	6%	Brouwerij De Regenboog	?-?
Sparta Pils	pils	5%	Brouwerij Van Steenberge	?-?
Speciale boum	NaN	?%	Brouwerij Villers	?-?
Special 6 Block	amber, hoge gisting	6%	Brouwerij De Block	?-?
Special De Ryck	hoge gisting, amber	5,5%	Brouwerij De Ryck	1920-heden
Special Extra Export Stout	stout	9%	De Dolle Brouwers	?-?
Special Roman	bruin	5,5%	Brouwerij Roman	?-2013
Speciale 1900	amber	5%	Brouwerij Haacht	2007-heden
Spéciale de Brabant	pils	5,3%	Groep John Martin	?-?
Speculoos Bier	hoge gisting (etiketbier)	8%	Brasserie d'Ecaussinnes	?-?
Spelziale	ale	4,5%	Brasserie Millevertus	?-?
Spijker	blond	6,2%	De Haeckse Brouwers GCV	2015-heden
Spioenkopje	fruitbier, witbier	5%	Brouwerij Strubbe voor den Haene	?-?
Spitfire Oud Balegems	amber	8,0%	Brouwerij Van Steenberge	1978-? (e ?-?)
Spitz	NaN	?%	Brasserie Devaux	?-?
Sportzot	goudblond	0,4%	Brouwerij De Halve Maan	2018-heden
St. Bernardus Abt 12	hoge gisting	10,5%	Brouwerij St. Bernardus	1946-heden
St. Bernardus Christmas Ale	kerstbier	10%	Brouwerij St. Bernardus	?-heden
St. Bernardus Extra 4	blond seizoensbier	4,8%	Brouwerij St. Bernardus	?-'70 en 2014-heden
St. Bernardus Pater 6	hoge gisting	6,7%	Brouwerij St. Bernardus	?-heden
St. Bernardus Prior 8	hoge gisting	8%	Brouwerij St. Bernardus	1946-heden
St. Bernardus Tripel	hoge gisting	8%	Brouwerij St. Bernardus	1992-heden
St. Bernardus Wit	witbier	5,5%	Brouwerij St. Bernardus	2003-heden
Sint-Idesbald Réserve Ten Duinen Blond	Erkend Belgisch Abdijbier	6,5%	Brouwerij Huyghe	?-heden
Sint-Idesbald Réserve Ten Duinen Dubbel	Erkend Belgisch Abdijbier	8%	Brouwerij Huyghe	?-heden
Sint-Idesbald Réserve Ten Duinen Rousse	Erkend Belgisch Abdijbier	7%	Brouwerij Huyghe	2004-heden
Sint-Idesbald Réserve Ten Duinen Tripel	Erkend Belgisch Abdijbier, tripel	9%	Brouwerij Huyghe	?-heden
Spécial de Nouvel An	NaN	9,5%	Brouwerij Dupont	1980-heden
St. Feuillien Blonde	Erkend Belgisch Abdijbier	7,5%	Brouwerij St-Feuillien	1955?-heden
St. Feuillien Brune Réserve	Erkend Belgisch Abdijbier	7,5%	Brouwerij St-Feuillien	1955?-heden
Grand Cru St-Feuillien Grand Cru	Erkend Belgisch Abdijbier	9,5%	Brasserie Saint Feuillien	?-heden
St. Feuillien Triple	Erkend Belgisch Abdijbier	8,5%	Brouwerij St-Feuillien	1955?-heden
St. Feuillien Cuvée de Noël	Erkend Belgisch Abdijbier, kerstbier	8,5%	Brouwerij St-Feuillien	?-heden
St. Firminus Blond	abdijbier	NaN	Brasserie Du Bocq	?-?
St. Firminus Bruin	abdijbier	NaN	Brasserie Du Bocq	?-?
St. Hubertus	amber tripel	7,2%	Brouwerij Roman voor Carlsberg Importers	2018-heden
St. Hubertus	blonde tripel	7,2%	Brouwerij Roman voor Carlsberg Importers	2018-heden
St. Hubertus	Witte tripel	5,2%	Brouwerij Roman voor Carlsberg Importers	2018-heden
St. Louis Cassis	fruitbier	4,5%	Brouwerij Van Honsebrouck	?-?
St. Louis Cassis Kir Royal	fruitbier	4,5%	Brouwerij Van Honsebrouck	?-?
St. Louis Framboise	frambozenbier	5 en 4,5%	Brouwerij Van Honsebrouck	?-?
St. Louis Frambozen(bier)	frambozenbier	5%	Brouwerij Van Honsebrouck	?-?
St. Louis Gueuze	geuze	5 en 4,5%	Brouwerij Van Honsebrouck	?-?
St. Louis Gueuze Fond Tradition	geuze	5%	Brouwerij Van Honsebrouck	?-?
St. Louis Kriek Lambic	kriek	4,5%	Brouwerij Van Honsebrouck	?-?
St. Louis Peche	fruitbier	3,5%	Brouwerij Van Honsebrouck	?-?
St. Louis Premium Cassis	fruitbier	3,2%	Brouwerij Van Honsebrouck	?-?
St. Louis Premium Faro	faro	3,2%	Brouwerij Van Honsebrouck	?-heden
St. Louis Premium Framboise	fruitbier	2,8%	Brouwerij Van Honsebrouck	?-heden
St. Louis Premium Kriek	kriek	3,2%	Brouwerij Van Honsebrouck	?-heden
St. Louis Premium Pêche	fruitbier	2,6%	Brouwerij Van Honsebrouck	?-heden
St. Paul Blond	abdijbier	5,3%	Brasserie du Bocq voor Brouwerij Sterkens	?-?
St. Paul Double	abdijbier	6,9%	Brasserie du Bocq voor Brouwerij Sterkens	?-?
St. Paul Speciale	abdijbier	5,5%	Brasserie du Bocq voor Brouwerij Sterkens	?-?
St. Paul Tripel	abdijbier, tripel	5%	Brasserie du Bocq voor Brouwerij Sterkens	?-?
St. Sebastiaan Dark	abdijbier	6,9%	Brasserie du Bocq voor Brouwerij Sterkens	?-?
St. Sebastiaan Grand Cru	abdijbier	7,6%	Brasserie du Bocq voor Brouwerij Sterkens	?-?
Star Blond	blond	0,4%	Brouwerij Haacht	?-?
Steenbrugge Blond	abdijbier, blond	6,5%	Brouwerij Palm	2004-heden
Steenbrugge Dubbel Bruin	abdijbier, tripel, bruin	6,5%	Brouwerij Palm (vroeger in Brouwerij De Gouden Boom)	1914-1943 en 1958-? en 1972-heden
Steenbrugge Tripel	abdijbier	8,7%	Brouwerij Palm (vroeger in Brouwerij De Gouden Boom)	1958-? en 1972-heden
Steenbrugge Wit	witbier	5%	Brouwerij Palm	2004-heden
Steendonk	witbier	4,5%	Brouwerij Duvel Moortgat	?-?
Steenuilke	hoge gisting	6,5%	Brouwerij De Rijck	?-heden
Stella Artois	pils, lage gisting	5,2%	InBev	1926-heden
Stene Tripel	Tripel, hoge gisting	9%	Brouwerij Stene	2021-heden
Stepa	tripel, suikervrij	8%	De Proefbrouwerij voor Stepaja bvba	?-?
Stille Nacht	donker	12%	De Dolle Brouwers	?-heden
Stoere Wulp	bruin	6,5%	De Proefbrouwerij	?-?
Stoeren Bonk	amber	6,3%	Brouwerij Van Steenberge	?-?
Stoeren Bonk Blond	blond	8%	Brouwerij Van Steenberge	?-?
Stout Leroy	zoete stout	5%	Brouwerij Het Sas	?-heden
Stoute Bie	donkerbruin	5,5%	Brouwerij De Bie	?-?
Stoute René	donkerbruin	6%	Brouwerij De Graal	2017-heden
Stout Mokke	stout	9%	Bieren Cabardouche	2012-heden
Stouterik	stout	4,5%	Brouwerij De Ranke voor Brasserie de la Senne	?-heden
Straffe Hendrik	hoge gisting, tripel	9%	Brouwerij De Halve Maan	1981-heden
Straffe Hendrik Quadrupel	hoge gisting, speciaalbier	11%	Brouwerij De Halve Maan	2010-heden
Straffe Hendrik Heritage	hoge gisting, speciaalbier	11%	Brouwerij De Halve Maan	2011-heden
Straffe Hendrik Wild	hoge gisting, tripel	10%	Brouwerij De Halve Maan	2014-heden
Straffe Toeback	hoge gisting	9,5%	Scheldebrouwerij	2009-heden (e 2009-2011)
Straffe Winter	geuze	8%	Geuzestekerij 3 fonteinen	?-?
Strandgaper	goud	6,2%	De Scheldebrouwerij	1996-heden
Strandjuttersbier Mong De Vos	quadrupel	9,2%	Brouwerij Strubbe voor bierfirma Den Haene	?-?
Stropken	amber	7%	Brouwerij Bios	1982-heden
Strubbe Pils	pils	5,2%	Brouwerij Strubbe	?-heden (e 2007-heden)
Struise Rosse	hoge gisting, Belgische pale ale	5%	De Struise Brouwers bij Brouwerij Deca	?-?
Struise Witte	hoge gisting	5%	De Struise Brouwers bij Brouwerij Deca	?-?
Struiselensis	hoge gisting, Belgische blonde ale	7%	De Struise Brouwers bij Brouwerij Deca	?-?
Suma Pils	etiketbier	5%	Brouwerij Het Sas	1986-heden
SUPER 8 Blanche	hoge gisting, witbier	5,1%	Brouwerij Haacht	?-?
SUPER 8 Export	lage gisting, exportbier, pils	4,8%	Brouwerij Haacht	?-?
SUPER 8 Flandrien	hoge gisting, blond	6,4%	Brouwerij Haacht	?-?
SUPER 8 IPA	lage gisting, IPA	6%	Brouwerij Haacht	?-?
SUPER 8 Pils	lage gisting, pils	5,2%	Brouwerij Haacht	?-?
SUPER 8 Rouge	hoge gisting, fruitbier	7,5%	Brouwerij Haacht	?-?
Super 64	hoge gisting, amber	5%	Brasserie de Silly	?-?
Super des Fagnes Blonde	hoge gisting, blond	7,5%	Brasserie des Fagnes	1994?-heden
Super des Fagnes Brune	hoge gisting, bruin	7,5%	Brasserie des Fagnes	1994?-heden
Super des Fagnes Griottes	hoge gisting, kriek	4,8%	Brasserie des Fagnes	?-heden
Super des Fagnes Noel	hoge gisting, bruin, kerstbier	8,5%	Brasserie des Fagnes	?-heden
Super des Fagnes Scotch	hoge gisting, scotch	7,5%	Brasserie des Fagnes	?-heden
Super NoAH	IPA	4,9%	Brouwers Verzet in Brouwerij De Ranke	NaN
Superpils	pils	4,3%	Brouwerij Strubbe	?-heden
Sur-les-Bois Ambrée	hoge gisting	8%	Brasserie La Botteresse de Sur-les-Bois	?-?
Sur-les-Bois Blonde	hoge gisting	7%	Brasserie La Botteresse de Sur-les-Bois	?-?
Sur-les-Bois Brune	hoge gisting	9%	Brasserie La Botteresse de Sur-les-Bois	?-?
Surprise Dubbel	dubbel	?%	Brouwerij Meesters	?-?
Surprise tripel	tripel	?%	Brouwerij Meesters	?-?
Svea IPA	IPA	5%	De Struise Brouwers bij Brouwerij Deca	?-?
Sword	stout	9%	Brouwerij Bier & Karakter bij Brouwerij Deca	2018-heden
't Baronneke	stout	6,5%	't Hofbrouwerijke	NaN
't Gaverhopke Blondje	hoge gisting	6,8%	Brouwerij 't Gaverhopke	?-heden
't Gaverhopke Bruintje	hoge gisting	6,8%	Brouwerij 't Gaverhopke	?-heden
't Gaverhopke Kerstbier	hoge gisting, kerstbier	6,8%	Brouwerij 't Gaverhopke	?-heden
't Gaverhopke Kriek	hoge gisting, fruitbier	6,8%	Brouwerij 't Gaverhopke	?-heden
't Gaverhopke Paasbier	hoge gisting, paasbier	8%	Brouwerij 't Gaverhopke	?-heden
't Schoenlappertje	zwarte-bessenbier	6,5%	De Scheldebrouwerij	1996-2002
't Schoenlappertje	zwarte-bessenbier	5%	De Scheldebrouwerij	2002-2011
't Smisje + dubbel IPA	IPA	10%	Brouwerij De Regenboog	2007-2010
't Smisje Bananenbier	fruitbier	6%	Brouwerij De Regenboog	2004-2010
't Smisje BBBourgondier	hoge gisting	12%	Brouwerij De Regenboog	2002-2010
't Smisje Blond	hoge gisting	6%	Brouwerij De Regenboog	1995-2010
't Smisje Calva Reserva	hoge gisting	12%	Brouwerij De Regenboog	?-2010
't Smisje Catherine The Great Imperial Stout	stout	10%	Brouwerij De Regenboog	2007-2010
't Smisje Cuvee 2005	hoge gisting	10%	Brouwerij De Regenboog	2005-2005
't Smisje Dubbel	hoge gisting	9%	Brouwerij De Regenboog	1997-2010
't Smisje Fiori	hoge gisting	7%	Brouwerij De Regenboog	2007-2010
't Smisje Grande Reserva	hoge gisting	11%	Brouwerij De Regenboog	?-2010
't Smisje Great Reserva	hoge gisting	10%	Brouwerij De Regenboog	?-2010
't Smisje Halloween	hoge gisting	10,5%	Brouwerij De Regenboog	2001-2010 (e 2001-2010)
't Smisje Honing	honingbier	6%	Brouwerij De Regenboog	2004-2010
't Smisje Honingbier Bruin	honingbier	6%	Brouwerij De Regenboog	1999-2008
't Smisje Kuvee Elektrik 979 W	hoge gisting	9%	Brouwerij De Regenboog	2008-2010
't Smisje Meso	hoge gisting	2,5%	Brouwerij De Regenboog	2007-2007
't Smisje Plus	IPA	10%	Brouwerij De Regenboog	2007-2010
't Smisje Sleedoornbier	fruitbier	6%	Brouwerij De Regenboog	?-2010
't Smisje Sleedoorn Extra	fruitbier	7%	Brouwerij De Regenboog	?-2010
't Smisje Speciaal	hoge gisting	10,5%	Brouwerij De Regenboog	2001-2010
't Smisje Tripel	tripel	9%	Brouwerij De Regenboog	1998-2010
