beername	beer_style	alcohol_percentage	brewery	start_production	end_production	beer_rating
Hanssens Lambic Experimental Cassis	Lambic, Fruit Beer	4	Brouwerij Hanssens	?	?	3.703
Hanssens Lambic Experimental Raspberry	Lambic, Fruit Beer	4	Brouwerij Hanssens	?	?	3.8
Hapkin	Top Fermentation, Blond	8.5	Louwaege, later Alken-Maes (Heineken)	?	Present	3.501
Harelbekenaar van de abdijhoeve	Red Brown Label Beer	6	Brouwerij Van Eecke	1955	Present	No Rating Found
Happy Birthday pils	Nan	NaN	Brouwerij Villers	?	?	No Rating Found
Hector	Top Fermentation, Triple	8.2	Brouwerij De Graal	?	Present	3.484
Heer van Biesen	Blonde, Brett Beer	6.2	De Proefbrouwerij	?	?	3.31
Heeren (bier)	Pilsner	4.8	André & Valérie Grolet	?	?	3.518
Heksemiebier	Top Fermentation	6.2	Microbrouwerij Achilles	2005	Present	3.299
Heksenbrij	Nan	NaN	Brouwerij Villers	?	?	No Rating Found
Hellekapelle	Blond	5	Brouwerij De Bie	?	?	3.079
Helleketelbier	Amber	7	Brouwerij De Bie	?	?	No Rating Found
Hengstenbier	Red Brown, Top Fermentation	5	Brouwerij Strubbe	1928	?	No Rating Found
Hercule Stout	Stout	9	Brasserie des Légendes	?	?	3.579
Herkenrode Bruin	Abbey Beer, Brown	7	Brouwerij Sint-Jozef	2009	2017	3.382
Herkenrode Cister Blond	Abbey Beer, Tripel	6.5	Brouwerij Sint-Jozef	2017	Present	3.396
Herkenrode Noctis Bruin	Abbey Beer, Tripel	7	Brouwerij Sint-Jozef	2017	Present	3.382
Herkenrode Tripel	Abbey Beer, Tripel	7	Brouwerij Sint-Jozef	2009	2017	3.331
Herkenrode Vesper	Abbey Beer, Tripel	9	Brouwerij Sint-Jozef	2017	Present	3.537
Heroes Amazing Blond	Strong Blonde	8.5	Heroes Amazing Beer	2018	Present	3.454
Heroes Mighty Brown	Strong Brown	8.5	Heroes Amazing Beer	2021	Present	3.505
Heroes Incredible Hop	Hoppy Blonde	8.5	Heroes Amazing Beer	2021	Present	3.583
Heroes Super Saison	Dry Hopped Saison	6.5	Heroes Amazing Beer	2021	Present	3.425
Heroes Barrel Aged	Barrel Aged	9.5	Heroes Amazing Beer	2021	Present	3.974
Hertalse Poorter	Top Fermentation, Blond	6.5	Brouwerij Slaghmuylder	?	?	3.118
Hertenheer	Top Fermentation, Amber	6.5	Scheldebrouwerij voor Brouwerij Het Nest	2009	Present	3.275
Hervoise	Top Fermentation	8.2	Brasserie Grain d'Orge	?	?	3.265
Hik Blond	Top Fermentation, Ale	6.5	Brouwerij Het Alternatief bij Brouwerij De Graal	2005	Present	3.104
Hik Bruin	Top Fermentation	6.5	Brouwerij Het Alternatief bij Brouwerij De Graal	?	Present	2.909
Himelein	Top Fermentation	6	Brouwerij Vissenaken	?	?	3.148
Hoegaarden	Top Fermentation, Wheat Beer	4.9	Brouwerij De Kluis (InBev)	1966	Present	3.533
Hoegaarden 0,0	Non-Alcoholic Wheat Beer	0	Brouwerij De Kluis (InBev)	?	?	2.723
Hoegaarden 0,0 Rosée	Non-Alcoholic Fruit Beer	0	Brouwerij De Kluis (InBev)	?	Present	2.661
Hoegaarden Citron	Fruit Beer	3	Brouwerij De Kluis (InBev)	2008	Present	2.822
Hoegaarden Grand Cru	Top Fermentation	8.5	Brouwerij De Kluis (InBev)	?	?	3.649
Hoegaarden Rosée	Fruit Beer	3	Brouwerij De Kluis (InBev)	2007	Present	3.072
Hoegaarden Spéciale	Top Fermentation, Golden Blond	5.7	Brouwerij De Kluis (InBev)	?	Present	3.426
Hoegaarden Verboden Vrucht	Fruit Beer	8.8	Brouwerij De Kluis (InBev)	?	Present	3.495
Hoeve bierl	Specialty Beer	NaN	Brouwerij Strubbe	?	?	3.141
Hof Korvatunturi	Top Fermentation, Brown	11	't Hofbrouwerijke	2008	Present	3.376
Hof ten Dormaal Amber	Top Fermentation	7.5	Brouwerij Hof ten Dormaal	2009	Present	3.258
Hof ten Dormaal Blond	Top Fermentation	8	Brouwerij Hof ten Dormaal	2010	Present	3.398
Hof ten Dormaal Donker	Top Fermentation	8.5	Brouwerij Hof ten Dormaal	2010	Present	3.36
Hof ten Dormaal Winter 10	Top Fermentation	8	Brouwerij Hof ten Dormaal	2009	2010	No Rating Found
Hofblues	Stout	5.5	't Hofbrouwerijke	?	?	3.313
Hofdraak	Brown	6.5	't Hofbrouwerijke	2006	Present	3.2
Hofelf	Wheat Triple	7.5	't Hofbrouwerijke	2007	Present	3.304
Hofnar	Amber	9	't Hofbrouwerijke	?	Present	3.294
Hofpint	Top Fermentation, Pilsner	5.5	't Hofbrouwerijke	?	?	No Rating Found
Hoftrol	Amber	6.2	't Hofbrouwerijke	?	?	3.094
Holger	Pilsner	5	Brouwerij Martens	?	?	2.562
Holsbeek Lentetripel	Triple	8.5	Brouwerij De Vlier	?	?	3.458
Hommelbier	Golden Coloured, Top Fermentation	7.5	Brouwerij Van Eecke	1981	Present	3.455
Hop Harvest	Very Dark	8	Brouwerij De Ranke	2010	?	3.791
Hopkikker	Nan	7	Brouwerij Boelens	?	?	3.535
Hopjutters Triple Hop	India Pale Ale	7.3	Brouwerij De Graal voor De Hopjutters	?	?	3.496
Hop-La	Triple	NaN	Brouwerij Vermylen	?	?	4.302
Hopmonkey	India Pale Ale	5.5	Fris en Monter	2016	Present	3.438
Hoppa Hontas	India Pale Ale	6.5	Brouwerij Maenhout	2012	Present	3.354
Hoppe	Pilsner	5	Brouwerij Van Steenberge	?	?	3.349
Hoppesnoet	Belgian Ale	8.5	Huisbrouwerij Den Tseut	?	?	3.306
Hop Ruiter	Triple	8	Scheldebrouwerij	2010	?	3.614
Hoptimist	Nan	NaN	Brouwerij Val-Dieu	?	?	3.649
Hopus	Top Fermentation, Golden Blond	8.3	Brouwerij Lefebvre	2008	Present	3.521
Hopverdomme	Imperial/Double Ipa	7.5	De Struise Brouwers	?	?	3.37
Hop Verdomme IPA	Ipa	7	Brouwerij Kerkom	?	?	3.37
Horal's Oude Geuze Mega Blend	Geuze	7	3 Fonteinen, Brouwerij Boon, Timmermans, Oud Beersel, Lindemans, De Troch, De Cam, Hanssens	?	?	4.21
Horse-Ale	Special Belgian	5	AB-InBev	?	?	3.32
Horst bier	Low Fermentation, Blond	6.5	Brouwerij Haacht	?	?	3.416
Hotteuse Grand Cru	Dark	8	Affligem Brouwerij	?	?	3.384
Houblon Chouffe Dobbelen IPA Tripel	India Pale Ale	9	Brouwerij van Achouffe (Duvel-Moortgat)	2006	Present	3.674
Hougaerdse Das	Top Fermentation, Amber	5.1	Brouwerij De Kluis (InBev)	1996	2009	3.113
Houten Kop	Specialty Beer	6.5	Brouwerij Strubbe	1988	Present	3.139
Huardis	Wheat Beer	5.2	Brouwerij Nieuwhuys	2009	Present	3.188
Ichtegem’s grand cru	Nan	6.5	Brouwerij Strubbe	2006	Present	3.692
Ichtegem's Oud Bruin	Red Brown, Top Fermentation	5	Brouwerij Strubbe	1928	Present	3.692
Ignis & Flamma	Ipa	7	De Struise Brouwers bij Brouwerij Deca	2007	Present	3.429
Ignis Quadrupel	Quadruple	10	Abdijbrouwerij Grimbergen	2021	Present	3.495
I Love You Pils	Nan	NaN	Brouwerij Villers	?	?	3.46
In de naam van de Vader - Saison	Saison	5.8	Heilig Hart Brouwerij bij Brouwerij Craywinckelhof	2017	Present	3.267
In de naam van de Vader - Dubbel	Double	6.8	Heilig Hart Brouwerij bij Brouwerij Craywinckelhof	2017	Present	3.294
In de naam van de Vader - Tripel	Triple	7.8	Heilig Hart Brouwerij bij Brouwerij Craywinckelhof	2017	Present	3.53
Inglorious Quad	Quadruple	10.3	Brouwerij Anders! voor Inglorious Brew Stars	?	?	3.607
IM-JIN	Amber	7.5	Brasserie Grain d'Orge	?	?	No Rating Found
Iris	Spontaneous Fermentation, Amber	6	Brouwerij Cantillon	1996	Present	4.256
Irma	Fruit Beer	6	voor bierfirma Vacas	?	Present	3.517
Itters Bruin	Table Beer	1.3	Brouwerij Sint-Jozef	?	Present	2.451
Jack'Ouille	Blond	6.5	Brasserie de Bouillon	?	?	No Rating Found
Jack-Op	Nan	nan	Brouwerij Jack-Op	1869	1965	3.044
Jack-Op	Mixed Fermentation	5.5	Brouwerij Boon	2010	Present	3.044
Jaded Stillwater Artisanal	Belgo/American Ale	10	De Struise Brouwers bij Brouwerij Deca	?	?	3.729
Jambe-de-bois	Triple	8	Brouwerij De Ranke voor Brasserie de la Senne	?	Present	3.559
Jan Buuc	Label Beer	7.5	Brouwerij Het Sas	1955	Present	3.069
Jan De Lichte	Wheat Beer	7	Brouwerij De Glazen Toren	2005	Present	3.64
Jan van Gent	Blond	5.5	Brouwerij Liefmans	?	?	3.004
Jan van Oudenaarde	Blond	8	Brouwerij Slaapmutske	2012	Present	3.351
Janus Triple	Triple	8	Brouwerij De Ranke	?	?	3.426
Jean Nicot	Tripel, Tobacco Beer	8.5	Brouwerij De Graal	2011	Present	3.434
Jeanke	Blonde	nan	Brasserie St. Jean	?	?	3.316
Jef	Saison	6	Brouwerij Anders! voor brouwerij De Neus	2017	Present	3.285
Jessenhofke Arvum	Top Fermentation, Organic	6	De Proefbrouwerij voor Brouwerij Jessenhofke	2013	Present	3.213
Jessenhofke Bière de Garde	Top Fermentation, Organic	9	De Proefbrouwerij voor Brouwerij Jessenhofke	2010	Present	3.329
Jessenhofke Bruin	Top Fermentation, Organic	7	De Proefbrouwerij voor Brouwerij Jessenhofke	2009	Present	3.431
Jessenhofke Lichtblond	Nan	3.5	De Proefbrouwerij voor Brouwerij Jessenhofke	2011	Present	2.885
Jessenhofke Maya	Top Fermentation, Organic	6	De Proefbrouwerij voor Brouwerij Jessenhofke	2009	Present	3.275
Jessenhofke Pimpernelle	Top Fermentation, Organic	8	De Proefbrouwerij voor Brouwerij Jessenhofke	2010	Present	3.383
Jessenhofke Reserva	Top Fermentation, Organic	9	De Proefbrouwerij voor Brouwerij Jessenhofke	2010	Present	No Rating Found
Jessenhofke Schelpje	Top Fermentation, Organic	9	De Proefbrouwerij voor Brouwerij Jessenhofke	2014	Present	3.249
Jessenhofke Tafelbier	Nan	3.5	De Proefbrouwerij voor Brouwerij Jessenhofke	2011	Present	2.545
Jessenhofke Tripel	Top Fermentation, Organic, Triple	8	De Proefbrouwerij voor Brouwerij Jessenhofke	2002	Present	3.383
Jezuwiet	Top Fermentation, Triple	8.5	Brouwerij Boelens	2010	2010	3.471
Johannes	Regional Beer	6.5	Brouwerij De Graal voor bierfirma Johannes	2007	Present	3.148
Joseph	Top Fermentation, Blond, Spelled	5.4	Brasserie de Silenrieux	1991	Present	3.052
Joseph Bio	Top Fermentation, Blond, Spelled	5.4	Brasserie de Silenrieux	?	Present	2.965
Joup	Top Fermentation	7.5	Brasserie Grain d'Orge	2003	Present	3.29
Julius	Top Fermentation, Brown	8.7	Brouwerij De Kluis (InBev)	1987	2012	4.483
Judas	High Fermentation, Ocher Blond	8.5	Alken-Maes (Heineken) (vroeger Brouwerij Union)	1986	Present	3.487
Jules de Bananes	Fruit Beer, White	4.9	Brouwerij De Ryck	2006	Present	1.997
Jules de Kriek	Fruit Beer, Ruby Red	4.9	Brouwerij De Ryck	2006	Present	2.524
Jupiler	Pilsner	5.2	Brouwerij Piedbœuf	1966	Present	3.244
Jupiler Blue	Bottom Fermentation, Pilsner	3.3	Brouwerij Piedbœuf (InBev)	2006	Present	2.602
Jupiler NA	Low Alcohol	0.5	Brouwerij Piedbœuf (InBev)	?	Present	1.934
Jupiler New Tauro	Low Fermentation	6.2	Inbev	2012	Present	3.106
Jupiler Tauro	Low Fermentation	8.3	Inbev	2008	2012	3.106
Kalle	Triple	8	Brouwerij Gulden Spoor	2007	Present	3.371
Kana	Blonde Special Beer - World Beer Awards 2020	5.4	Brouwerij Brouwerij DeBlock - in opdracht van KANA	2019	Present	3.258
Kamielke - Zomergems Blond	Blond	7.3	Brouwerij De Feniks in opdracht van De Biersmid	2016	Present	3.358
Kamielke - Hopkamiel 2017	Blond	8	Brouwerij De Feniks in opdracht van De Biersmid	2017	Present	3.411
Kameleon Amber	Biological	6.5	Brouwerij Den Hopperd	1996	Present	3.092
Kameleon Donker	Biological	6	Brouwerij Den Hopperd	1996	Present	2.947
Kameleon Ginseng	Biological	6.5	Brouwerij Den Hopperd	1996	Present	2.798
Kameleon Tripel	Biological	8.5	Brouwerij Den Hopperd	1996	Present	3.298
Kamil	Blond	6.5	De Proefbrouwerij voor Bieren Van Begeerte	2004	Present	3.197
Kamil Greenstone	Amber	8	De Proefbrouwerij voor Bieren Van Begeerte	2015	Present	3.389
Kamil Surfer Rosa	Blond	5.5	De Proefbrouwerij voor Bieren Van Begeerte	2019	Present	3.452
Kapel van Viven Blond	Blond	6.8	De Proefbrouwerij voor Beerdevelopment Viven	1999	2006	3.403
Kapel van Viven Bruin	Brown	6.6	De Proefbrouwerij voor Beerdevelopment Viven	1999	2006	No Rating Found
Kapittel Abt	Brown	10	Brouwerij Van Eecke	1964	Present	3.527
Kapittel Blond	Blond	6.5	Brouwerij Van Eecke	?	Present	3.254
Kapittel Dubbel	Brown	7.5	Brouwerij Van Eecke	?	Present	3.248
Kapittel Pater	Brown	6	Brouwerij Van Eecke	1955	Present	3.105
Kapittel Prior	Brown	9	Brouwerij Van Eecke	?	Present	3.453
Kapittel Tripel Abt	Triple	10	Brouwerij Van Eecke	1964	Present	3.527
Karlsquell	Pilsner	4.6	Brouwerij Martens	?	Present	2.662
Kastaar	Blond	6	Brouwerij De Block	1982	Present	3.059
Kasteel Blond	Blond, Top Fermentation	7	Brouwerij Van Honsebrouck	?	Present	3.529
Kasteel Cuvée du Château	Dark	11	Brouwerij Van Honsebrouck	?	Present	3.812
Kasteel Donker	Dark	11	Brouwerij Van Honsebrouck	1989	Present	3.636
Kasteel Hoppy	Blond	6.5	Brouwerij Van Honsebrouck	2013	Present	3.31
Kasteel Rouge	Kriek	8	Brouwerij Van Honsebrouck	2007	Present	3.579
Kasteel Tripel	Triple	11	Brouwerij Van Honsebrouck	1989	Present	3.634
Kasteelbier Blond	Blond	11	Brouwerij Van Honsebrouck	1989	Present	3.519
Kasteelbier Bruin	Brown	11	Brouwerij Van Honsebrouck	1989	Present	3.636
Kasteelbier Ooidonk	Label Beer	11	Brouwerij Van Honsebrouck	1989	Present	No Rating Found
Kastel	Amber	7	De Proefbrouwerij in opdracht van De Kastelse Biervereniging	2006	?	3.907
Kastels pompoenbier	Wheat Beer, With Pumpkin	6	De Proefbrouwerij in opdracht van De Kastelse Biervereniging	?	?	No Rating Found
Katje Special	Top Fermentation, Ale	6	Brouwerij Het Sas	1955	Present	2.734
Kauno pils	Nan	NaN	Brouwerij Villers	?	?	No Rating Found
Kd (kadee) blond	Top Fermentation, Blond	6.2	Brouwerij Dilewyns voor brouwerij Kadee	2014	Present	3.235
Kd (kadee) bruin	Top Fermentation, Ale	7	Brouwerij Dilewyns voor brouwerij Kadee	2016	Present	3.277
Kd (kadee) tripel	Top Fermentation, Triple	8	Brouwerij Dilewyns voor brouwerij Kadee	2016	Present	3.43
Keikop Saison	Season	6.5	Brouwerij De Graal voor Brouwerij De Kassei	2013	Present	3.267
Keikop Tripel	Triple	8.7	Brouwerij De Graal voor Brouwerij De Kassei	2009	Present	3.484
Keikop Weizen	Amber	6	Brouwerij De Graal voor Brouwerij De Kassei	2017	Present	3.293
Keikoppenbier	Blonde, Organic	6.1	Brouwerij De Plukker	2012	Present	3.354
Keizer Karel	Brown	9	Brouwerij Haacht	'70	1999	3.526
Keizer Karel Robijn Rood	Ruby Red	8.5	Brouwerij Haacht	1999	2022	3.424
Keizer Karel Goud Blond	Blond	8.5	Brouwerij Haacht	2006	2022	3.526
Keizersberg	Abbey Beer	9	Brouwerij Van Steenberge	1994	Present	3.504
Kempisch Vuur 3-Dubbel	Brown	7.5	De Proefbrouwerij in opdracht van Brouwerij Pirlot (vroeger Microbrouwerij Paeleman	2006	Present	3.195
Kempisch Vuur Haverstout	Dark Stout	6.5	De Proefbrouwerij in opdracht van Brouwerij Pirlot	2012	Present	3.245
Kempisch Vuur Hoppergod	Blond	6	De Proefbrouwerij in opdracht van Brouwerij Pirlot	2012	Present	3.299
Kempisch Vuur Jeneverbes	Blond	6.5	De Proefbrouwerij in opdracht van Brouwerij Pirlot	2012	Present	3.009
Kempisch Vuur Tripel	Triple	7.5	De Proefbrouwerij in opdracht van Brouwerij Pirlot (vroeger Microbrouwerij Paeleman	2000	Present	3.418
Kerasus	Dark Red	5.5	Brouwerij Alvinne	?	?	3.955
Kerstbier	Nan	NaN	Brouwerij Steedje	?	?	3.741
Kerelsbier Donker	Label Beer	6.4	Brouwerij Het Sas	1955	Present	3.365
Kerelsbier Licht	Label Beer	6.4	Brouwerij Het Sas	?	Present	2.929
Kerkomse Tripel	Triple	9	Brouwerij Kerkom bij Brouwerij Sint-Jozef	2003	2014	3.496
Kerstpater	Top Fermentation, Christmas Beer	9	Brouwerij Van Den Bossche	2000	Present	3.417
Kerstbie(r)	Dark, Christmas Beer	8	Brouwerij De Bie	?	?	2.709
KerstSmiske	Dark, Christmas Beer	11	Brouwerij Smisje	?	?	3.668
Kerstvuur	Christmas Beer	8	De Proefbrouwerij voor Brouwerij Pirlot	?	Present	3.166
Kessel 69	Top Fermentation	6.9	Brouwerij De Vlier	2008	Present	2.5
Kessel Blond	Top Fermentation	7.5	Brouwerij De Vlier	2008	Present	3.187
Keyte	Blond, Top Fermentation	7.5	Brouwerij Strubbe	2004	Present	3.416
Keyte-Dobbel-Tripel	Ruby Red, Top Fermentation	9.2	Brouwerij Strubbe	2007	Present	No Rating Found
Kilt (bier)	Nan	NaN	Brouwerij Villers	?	?	3.623
King Kong (bier)	Nan	NaN	Brouwerij Villers	?	?	No Rating Found
Klets blond	Top Fermentation	8	Brouwerij Bier & Karakter bij Brouwerij Deca	2012	Present	3.339
Klets bruin	Top Fermentation	6.5	Brouwerij Bier & Karakter bij Brouwerij Deca	2013	Present	2.918
Klets Extra Hop	Ipa	8	Brouwerij Bier & Karakter bij Brouwerij Deca	2014	Present	3.527
Kleveretien	Top Fermentation, Winter Beer	10	De Scheldebrouwerij voor Brouwerij Het Nest	2010	Present	3.56
Klingse Kalsei	Top Fermentation, Regional Beer	8	Brouwerij Van Steenberge	1978	Present	3.445
Kloefkapper	Wheat Beer	5.7	Brouwerij 't Paenhuys	?	?	3.059
Kloeke Blonde	Top Fermentation, Belgian Blonde Ale	6	De Struise Brouwers	?	Present	3.192
Klokke Roeland	Dark	11.5	Brouwerij Van Steenberge	?	?	3.918
Klooster van Viven	Brown	6.6	De Proefbrouwerij voor Beerdevelopment Viven	1999	2006	No Rating Found
Klosterbier	Nan	6	Eupener Bierbrauerei	?	1998	3.71
Koantjesbier	Top Fermentation	7	De Proefbrouwerij voor Bierfirma Vacas	?	?	No Rating Found
KoekeDam	Season	6.5	De Scheldebrouwerij voor Brouwerij Het Nest	2014	Present	3.297
Koekelaring	Top Fermentation	6.5	Brouwerij De Graal voor De Hoevebrouwers (sinds 2022 in eigen brouwerij)	?	?	3.209
Koeketiene	Triple	8.5	Brouwerij Maenhout	2010	Present	3.536
Koerseklakske	Top Fermentation	5.5	Brouwerij 't Gaverhopke	2009	Present	3.24
Korsakoff	Unfiltered Blond Beer	6.5	't Hofbrouwerijke	?	?	4.037
Kortrijk-dUtsel	Brutbier	8.5	Brouwerij Kortrijk-dUtsel	?	?	3.517
Kouter Lorem	Triple	8.8	Brouwerij Danny voor Bierfirma Geestrijken van de Kouter	2017	Present	3.379
Krab	Blonde Ale	5.2	Scheldebrouwerij	?	?	3.266
Kriek Belgique	Fruit Beer	3.5	Brasserie du Bocq	?	?	3.433
Kriek Boon	Lambic	4.5	Brouwerij Boon	?	?	3.529
Kriek Cantillon 100% Lambic	Lambic	5.5	Brouwerij Cantillon	?	?	4.264
Kriek De Ranke	Fruit Beer	4.5	Brouwerij De Ranke	2000	Present	3.932
Kriek de Silenrieux	Fruit Beer	4.5	Brasserie de Silenrieux	?	?	2.712
Kriek Fantastiek	Fruit Beer, Red Brown	4.9	Brouwerij De Ryck	?	?	2.929
Kriek Girardin	Lambic	5	Brouwerij Girardin	?	Present	3.673
Kriek Jacobins	Lambic	4.5	Brouwerij Bockor	?	Present	3.476
Kriek Lindemans	Lambic	3.5	Brouwerij Lindemans	1809	Present	3.564
Kriek Mariage Parfait	Lambic	8	Brouwerij Boon	?	?	3.841
Kriekedebie	Fruit Beer	4.4	Brouwerij De Bie	?	?	2.822
Kriekenbier	Fruit Beer, Bottom Fermentation	4	Brouwerij Sint-Jozef	?	?	3.544
Kriekenbier	Fruit Beer	4.5	Brouwerij Strubbe	1996	Present	3.544
Kriek Max	Fruit Beer	3.2	Brouwerij Bockor	2002	Present	3.476
Kristoffel Blond	Blond, Top Fermentation	6	Brouwerij Martens (Bocholt)	?	Present	3.208
Kristoffel Donker	Dark, Top Fermentation	6	Brouwerij Martens (Bocholt)	?	Present	No Rating Found
Kristoffel Witbier	Wheat Beer, Top Fermentation	5	Brouwerij Martens (Bocholt)	?	Present	No Rating Found
Kwak	Specialty Beer, Top Fermentation	8.4	Brouwerij Bosteels	?	Present	2.808
Kwaremont	Blond, Top Fermentation	6.6	Brouwerij Bavik	2010	Present	3.492
Kwets	Blond Wheat Beer	6.8	Brouwerij Van Steenberge voor Microbrouwerij Paeleman in opdracht van Kwets vzw	2007	Present	3.203
Kwibus Blond	Blond, Top Fermentation	6.4	Brouwerij Danny	2008	Present	3.202
Kwibus Donker	Top Fermentation	6.4	Brouwerij Danny	2008	Present	3.119
Kwibus Tripel	Top Fermentation	8.5	Brouwerij Danny	2014	Present	3.264
L'écume des Jours	Nan	NaN	Brouwerij Brunehaut	?	?	3.082
La Barbiot Ambrée	Top Fermentation	9.5	Brasserie la Barbiot	?	?	No Rating Found
La Barbiot Blonde	Top Fermentation	8	Brasserie la Barbiot	?	?	No Rating Found
La Binchoise Blonde	Top Fermentation, Blond	6.2	Brouwerij La Binchoise	1987	Present	3.466
La Binchoise Brune	Top Fermentation	7.7	Brouwerij La Binchoise	1987	Present	3.287
La Binchoise Organic’ Brune	Top Fermentation, Organic	7	Brouwerij La Binchoise	2011	Present	3.29
La Binchoise Organic’ Miel	Top Fermentation, Organic, Honey Beer	8.5	Brouwerij La Binchoise	2011	Present	No Rating Found
La Binchoise Organic’ Triple	Top Fermentation, Organic, Triple	8.5	Brouwerij La Binchoise	2011	Present	3.402
La Binchoise Spéciale Noël	Top Fermentation, Christmas Beer	9	Brouwerij La Binchoise	?	Present	3.407
La Binchoise Triple	Top Fermentation, Triple	8.5	Brouwerij La Binchoise	?	Present	3.466
La Binchoise XO	Top Fermentation	12	Brouwerij La Binchoise	?	Present	3.762
La Botteresse Ambrée	Top Fermentation	8.5	Brasserie la Botteresse de Sur-les-bois	1997	Present	3.202
La Botteresse de Noël	Top Fermentation, Christmas Beer	10.5	Brasserie la Botteresse de Sur-les-bois	?	Present	3.143
La Botteresse Blonde	Top Fermentation	7.5	Brasserie la Botteresse de Sur-les-bois	?	Present	3.059
La Botteresse Brune	Top Fermentation	9.5	Brasserie la Botteresse de Sur-les-bois	?	Present	3.271
La Botteresse aux cerises	Top Fermentation, Fruit Beer	5.5	Brasserie la Botteresse de Sur-les-bois	?	Present	No Rating Found
La Botteresse Ambrée au miel	Top Fermentation, Honey Beer	8.5	Brasserie la Botteresse de Sur-les-bois	?	Present	No Rating Found
La Botteresse aux pommes	Top Fermentation, Fruit Beer	5.4	Brasserie la Botteresse de Sur-les-bois	?	Present	2.739
La Blanche des Saisis	Wheat Beer	6.2	Brasserie Ellezelloise	1995	Present	No Rating Found
La Bouillonnaise	Brown, Top Fermentation	7	Brasserie de Bouillon	1998	Present	3.208
La Chérie	Fruit Beer	5	Brasserie Val de Sambre	?	?	2.857
La Chèvenis	Top Fermentation	6	Brasserie de Bouillon	?	?	No Rating Found
La Chouffe	Blond, Top Fermentation	8	Brouwerij van Achouffe (Duvel-Moortgat)	1982	Present	3.82
La Clermontoise	Nan	NaN	Brasserie Ruwet later ?	?	?	No Rating Found
La Corne du Bois des Pendus Blonde	Top Fermentation, Blond	5.9	Brasserie d'Ebly	2010	Present	3.353
La Corne du Bois des Pendus Triple	Top Fermentation, Triple	7	Brasserie d'Ebly	2010	Present	3.642
La courtoise	With Secondary Fermentation	NaN	Brasserie Caulier	?	?	3.182
La Cré Tonnerre	Top Fermentation, Triple	7	Brasserie de Silly	?	?	3.209
La dalmatienne	Nan	8	Brasserie Fantôme	?	Present	3.796
La Divine	Top Fermentation, Amber	9.5	Brasserie de Silly	?	?	3.385
La Djean Triple	Amber	9	Brasserie Sainte-Hélène	2005	Present	3.434
La Douce Vertus	Top Fermentation, Ale	7	Brasserie Millevertus	?	?	3.246
La Farnières	Nan	NaN	Brouwerij Val-Dieu	?	?	3.408
La Fumette	Top Fermentation, Rauchbier	6.5	Brasserie Millevertus	?	Present	3.58
La Gueularde	Top Fermentation, Blond	8	Cafés Preko	?	?	2.808
La Grognarde	Top Fermentation	5.5	Brasserie Sainte-Hélène	?	?	3.252
La Guillotine	Strong Blonde	8.5	Brouwerij Huyghe	1989	Present	3.571
La Hesbaye blanche	White	3.8	Brasserie d'Oleye	?	?	No Rating Found
La Hesbaye blonde	Blond	6.5	Brasserie d'Oleye	1994	2002	No Rating Found
La Hesbaye brune	Brown	9	Brasserie d'Oleye	1994	2002	3.255
La Hesbaye saison	Season	7	Brasserie d'Oleye	?	?	3.204
La Hesbaye vieille brune	Brown	6	Brasserie d'Oleye	?	?	No Rating Found
La Jamboise	Nan	6	Les Artisans Brasseurs	?	?	3.167
La Jamboise de Bister	Pale Blond	6.5	Brouwerij Lefebvre	?	?	3.167
La Loubécoise	Dark, Top Fermentation	8	Brasserie d'Ecaussinnes	2004	Present	3.389
La Mac Vertus	Stout	4.8	Brasserie Millevertus	?	?	3.148
La Marlagne blanche	Wheat Beer	5.5	Les Artisans Brasseurs	?	?	No Rating Found
La Marlagne blonde	Blond	5.5	Les Artisans Brasseurs	?	?	No Rating Found
La Marlagne brune	Brown	5.5	Les Artisans Brasseurs	?	?	No Rating Found
Lambertusbier	Nan	NaN	Brouwerij Villers	?	?	No Rating Found
La Médiévale	Amber, Top Fermentation	6	Brasserie de Bouillon	1998	Present	3.035
La Mère Vertus	Triple	7	Brasserie Millevertus	?	?	3.443
La Merveilleuse de Chrèvremont	Nan	NaN	Brouwerij Val-Dieu	?	?	3.437
La Merveilleuse de Chrèvremont Royal	Nan	NaN	Brouwerij Val-Dieu	?	?	3.401
La Moneuse	Saison, Amber	8	Brasserie de Blaugies	1988	Present	3.731
La Moneuse Spéciale Noël	Saison, Brown, Top Fermentation	8	Brasserie de Blaugies	1993	Present	3.607
La Moraipire	Triple	8.5	Brasserie Millevertus	?	?	3.515
La Namuroise	Top Fermentation	7	Les Artisans Brasseurs	?	?	No Rating Found
La Noire Fontaine	Top Fermentation	8	Brasserie de Bouillon	?	?	3.242
La Penneffoise	Fruit Beer	8	Brasserie d'Ecaussinnes	?	?	3.542
La Pierreuse	Double	8	Brasserie d'Oleye	1994	2002	3.289
La Pierreuse pale	Nan	NaN	Brasserie d'Oleye	?	?	No Rating Found
La Pils des 3 Canaux	Pilsner	4.5	Authentique Brasserie	?	?	No Rating Found
La Ploquette	Nan	7.5	Brasserie Ruwet later Brasserie de l'Abbaye du Val-Dieu	?	Present	3.223
La Poiluchette Blanche de Thy	Top Fermentation	NaN	Brouwerij Huyghe	?	?	No Rating Found
La Poiluchette Blonde	Top Fermentation	NaN	Brouwerij Huyghe	?	?	3.316
La Poiluchette Blonde Cuvéé du Château	Top Fermentation	7.5	Brouwerij Huyghe	?	?	3.316
